isla,fecha,numero_casos,ia_7dias,ia_14dias,pcr_total,pcr_positivos,pcr_porcentaje_positivos,pcr_porcentaje_positivos_7dias,Urg_ingr,Urg_cv,HPT_cv19,HPT_nocv19,CCR_cv19,CCR_nocv19,CSR_cv19,CSR_nocv19,tmed,prec,tmin,tmax,dir,velmedia,racha,sol,presMax,presMin,hrMedia,hrMax,hrMin
EL HIERRO,2021-01-14,0,98.68125953171256,260.1596842199695,63,0,0.0,3.494623655913979,0,0,1,8,0,0,0,0,19.0,0.0,17.8,20.3,4.0,7.8,13.3,7.8,1026.4,1023.2,58.0,68.0,49.0
FUERTEVENTURA,2021-01-14,22,105.2350248889186,167.03972204590252,410,29,7.073170731707317,9.727626459143968,14,1,1,79,0,1,0,0,17.2,0.0,14.2,20.1,3.0,7.2,14.4,5.8,1026.5,1023.5,61.0,76.0,51.0
EL HIERRO,2021-01-15,2,89.71023593792052,233.24661343859336,26,3,11.538461538461538,3.055555555555555,0,0,1,8,0,0,0,0,17.7,0.0,16.3,19.1,99.0,9.2,13.9,4.7,1025.3,1021.8,61.0,70.0,52.0
FUERTEVENTURA,2021-01-15,15,111.08141516052515,177.06210536865666,665,32,4.81203007518797,8.689390302448391,15,0,1,79,0,1,0,0,18.1,0.0,16.4,19.8,3.0,8.3,14.4,1.7,1024.5,1021.6,57.0,69.0,47.0
TENERIFE,2021-01-15,67,56.321101352137184,122.01110484124555,2025,101,4.987654320987654,5.638366817887233,201,5,97,1511,28,57,0,15,17.9,0.0,16.4,19.4,6.0,2.2,10.3,0.2,1024.9,1021.5,58.0,69.0,47.0
LANZAROTE,2021-01-15,71,363.25828562626754,502.5286884193772,917,79,8.61504907306434,12.717948717948715,22,4,25,136,5,4,0,1,17.6,0.0,15.1,20.1,99.0,6.7,12.5,1.8,1025.8,1023.1,59.0,68.0,47.0
GRAN CANARIA,2021-01-15,114,105.6666054953648,167.9678231159726,2245,143,6.369710467706013,8.183908045977011,202,11,88,1523,26,71,0,7,18.0,0.0,16.0,19.9,99.0,9.7,15.0,2.2,1023.2,1019.8,58.0,68.0,48.0
LA GOMERA,2021-01-15,0,36.903773410831256,59.9686317926008,19,0,0.0,2.735978112175103,3,0,0,22,0,0,0,0,16.9,0.0,14.2,19.6,35.0,4.2,10.8,7.6,1002.2,998.6,55.0,66.0,48.0
LA PALMA,2021-01-15,1,19.171319705720244,34.74801696661794,160,10,6.25,3.415409054805401,17,0,0,147,0,3,0,0,17.0,0.0,15.6,18.4,4.0,6.1,12.5,0.4,1024.5,1021.3,61.0,81.0,49.0
EL HIERRO,2021-01-16,4,89.71023593792052,251.18866062617744,49,7,14.285714285714286,3.636363636363636,2,1,2,9,0,0,0,0,19.2,0.0,17.6,20.8,3.0,5.8,15.0,6.7,1023.3,1020.3,58.0,71.0,49.0
