fecha,isla,numero_casos,pcr_total,Urg_cv,HPT_cv19,CCR_cv19,tmin,tmed,presMax
2021-02-15,EL HIERRO,1,79,0,0,0,16.8,21.4,1019.5
2021-02-16,LANZAROTE,15,289,4,38,19,14.0,18.2,1024.2
2021-02-16,LA PALMA,0,262,0,1,0,16.7,20.6,1018.9
2021-02-16,GRAN CANARIA,67,2158,9,92,48,17.2,19.6,1020.4
2021-02-16,TENERIFE,71,1900,10,52,19,16.9,20.2,1020.5
2021-02-16,LA GOMERA,0,17,0,2,0,17.5,20.6,998.7
2021-02-16,EL HIERRO,0,9,0,0,0,17.6,20.6,1020.5
2021-02-16,FUERTEVENTURA,8,431,2,3,0,16.3,19.0,1022.9
2021-02-17,TENERIFE,61,2019,6,50,22,16.0,19.2,1018.0
2021-02-17,LANZAROTE,24,328,1,34,16,14.9,18.0,1020.4
2021-02-17,LA PALMA,2,181,2,2,1,16.2,19.2,1016.4
2021-02-17,FUERTEVENTURA,12,429,0,2,0,15.8,18.0,1018.9
2021-02-17,EL HIERRO,0,66,0,0,0,16.3,19.0,1017.6
2021-02-17,LA GOMERA,0,32,0,2,0,16.0,18.5,995.6
2021-02-17,GRAN CANARIA,47,1512,3,78,49,15.2,18.1,1016.9
2021-02-18,EL HIERRO,0,45,0,0,0,17.9,19.6,1017.0
2021-02-18,LA GOMERA,0,17,0,2,0,14.6,18.6,994.5
2021-02-18,LANZAROTE,16,435,1,25,15,13.0,18.2,1018.1
2021-02-18,GRAN CANARIA,75,2051,7,77,48,15.4,18.4,1014.9
2021-02-18,TENERIFE,66,2157,11,51,19,14.9,18.2,1016.1
2021-02-18,FUERTEVENTURA,11,651,1,3,0,16.1,18.6,1017.0
2021-02-18,LA PALMA,4,177,0,1,2,15.9,18.7,1015.7
2021-02-19,LA PALMA,0,293,0,1,2,13.9,17.2,1015.6
2021-02-19,LANZAROTE,14,378,0,22,12,10.7,16.2,1017.9
2021-02-19,GRAN CANARIA,40,1801,3,75,48,13.7,18.1,1015.0
2021-02-19,TENERIFE,59,1851,8,50,15,14.7,18.4,1016.2
2021-02-19,FUERTEVENTURA,5,180,1,4,0,13.8,17.0,1016.8
2021-02-19,EL HIERRO,12,72,0,0,0,14.7,18.4,1017.5
2021-02-19,LA GOMERA,0,28,0,2,0,14.2,18.1,994.9
2021-02-20,TENERIFE,61,1365,11,60,19,14.9,18.9,1013.8
2021-02-20,EL HIERRO,0,7,0,0,0,15.0,19.4,1014.9
2021-02-20,LANZAROTE,18,259,3,19,12,12.0,16.9,1016.1
2021-02-20,FUERTEVENTURA,10,193,0,3,1,12.3,18.4,1015.0
2021-02-20,LA GOMERA,0,15,0,2,0,14.8,17.4,992.4
